%depth	d13C	d18O
26.26	0.86	3.22
26.32	0.85	3.09
26.35	0.87	2.98
26.38	0.56	3.1
26.5	0.85	2.94
26.53	0.95	3
26.68	0.71	2.96
26.95	0.94	2.94
27.01	0.73	2.76
27.16	0.58	2.9
27.25	0.51	2.74
27.28	-0.09	2.97
27.31	0.09	2.88
27.37	0.59	2.77
27.55	0.03	2.88
27.58	0.05	2.87
27.6	0.88	3.78
27.63	0.18	3.07
27.66	0.95	3.73
27.75	0.61	3.57
27.87	0.47	3.83
27.9	0.64	3.97
27.99	0.67	4.08
28.2	0.78	4.04
28.23	0.7	3.91
28.26	0.86	3.81
28.29	0.83	3.95
28.35	0.59	3.95
28.63	0.8	3.92
29.25	0.82	3.93
29.34	0.34	3.93
29.4	0.83	3.91
29.43	0.68	3.9
29.46	0.72	3.86
29.49	0.48	3.81
29.51	0.18	3.55
29.54	0.58	3.8
29.56	0.46	3.72
29.59	0.77	3.86
29.62	0.72	3.86
29.71	0.87	4.01
29.74	0.77	3.79
29.8	0.57	3.87
29.83	0.44	3.91
29.89	0.14	3.48
29.98	-0.28	3.78
30.01	0.76	4.19
30.1	0.8	4.19
30.13	1.01	4.18
30.19	0.37	3.79
30.31	0.75	4.01
30.39	0.33	3.68
30.52	0.82	3.77
30.55	0.65	3.61
30.64	0.72	3.49
30.76	0.69	3.68
30.85	0.71	3.36
31.04	0.97	3.28
31.13	1.12	3.42
31.15	0.99	3.37
31.18	1.25	3.28
31.21	1.02	3.35
31.24	0.83	3.37
31.3	0.91	3.35
31.33	0.95	3.15
31.39	0.84	3.17
31.48	1.03	3.29
31.54	0.63	3.07
31.63	0.55	3.48
31.66	0.54	3.66
31.75	0.63	3.76
31.78	0.84	3.76
31.84	0.55	3.77
31.9	0.49	3.81
31.93	0.41	3.73
31.99	0.61	3.78
32.03	0.97	3.94
32.08	1.03	3.68
32.11	0.64	3.8
32.2	0.9	3.85
32.23	0.54	3.82
32.26	0.75	3.7
32.29	0.61	3.78
32.32	0.88	3.82
32.35	0.78	3.88
32.43	0.73	3.69
32.53	0.89	3.74
32.83	0.8	3.66
33.01	0.62	3.45
33.11	0.84	3.34
33.14	0.8	3.37
33.27	0.34	3.35
33.33	0.73	3.32
33.37	0.7	3.41
33.43	0.21	3.26
33.49	0.64	3.52
33.7	0.36	3.37
33.76	1	3.57
33.79	0.68	3.47
34.21	0.94	3.21
34.24	0.81	3.2
34.27	-0.64	3.14
34.3	0.72	3.14
34.33	0.72	3.1
34.39	0.66	3.17
34.42	0.67	3.18
34.45	0.43	3.1
34.66	0.33	2.85
34.9	0.64	3.06
34.99	0.63	3.14
35.02	0.65	3.23
35.2	0.72	3.04
35.21	1.09	3.25
35.31	0.9	3.08
35.61	1.04	2.94
35.91	0.93	2.92
37.21	0.64	2.9
37.31	0.75	2.8
37.51	0.83	2.89
37.77	0.64	2.79
38.67	0.9	4.38
38.91	0.54	4.57
39.07	0.54	4.46
39.17	0.48	4.31
39.27	0.12	4.24
39.37	0.42	4.16
39.47	0.28	4.14
39.57	0.45	3.92
39.87	0.07	4.03
39.87	0.2	3.76
39.97	0.58	4.45
39.97	1.1	4.42
40.07	0.68	4.31
40.21	0.58	4.3
40.37	0.74	4.21
40.71	0.56	4.13
40.87	0.42	4.1
41.17	0.93	4.12
41.27	1.11	3.9
41.31	0.77	3.87
41.57	0.9	4.08
41.71	0.75	4.2
41.87	1.44	4.1
42.07	0.52	3.98
42.17	1.22	3.88
42.37	1.04	3.94
42.97	0.91	3.54
43.07	0.72	3.65
43.21	1.04	3.63
43.37	0.72	3.71
43.51	0.92	3.71
43.67	0.67	3.6
43.86	1.1	3.45
43.97	0.92	3.51
44.16	0.22	3.28
44.22	0.8	3.4
44.32	1.08	3.36
44.32	1.07	3.4
44.46	1.07	3.45
44.86	0.21	3.07
45.22	1.36	3
46.22	1.06	2.92
46.32	1.28	2.97
46.52	1.2	2.89
46.82	1	2.85
46.92	1.21	2.89
47.32	1.26	2.79
47.52	1.1	3.02
47.82	0.69	2.8
48.22	0.81	2.98
48.36	0.67	3.03
48.52	1.06	3
48.92	1.01	3.2
50.16	0.74	3.36
50.22	0.67	3.38
50.52	-0.02	4.05
50.71	0.03	4.56
50.71	0.08	4.45
50.76	0.13	4.54
51.01	1.25	4.6
51.31	0.66	4.36
51.61	0.92	4.21
51.91	1.08	4.41
52.55	0.95	4.37
53.25	1.34	4.05
53.61	1.16	3.88
53.91	1.21	4.02
54.21	1.07	4.04
54.65	1.3	3.75
55.05	1.2	3.73
55.35	1.41	3.4
55.71	1.48	3.29
55.95	1.46	3.34
56.31	1.51	3.29
56.55	1.52	3.43
57.05	0.94	3.66
57.21	1.36	3.38
57.35	1.31	3.56
57.51	1.29	3.41
57.75	1.3	3.54
58.11	1.33	3.62
58.15	1.11	3.53
58.41	1.42	3.61
58.55	1.26	3.65
58.71	1.54	3.68
59.31	1.08	3.78
59.63	1.24	3.69
60.53	1.29	3.54
61.43	1.35	3.6
61.64	1.25	3.62
61.94	0.95	3.7
62.03	1.02	3.78
62.54	0.9	4.3
62.54	0.9	4.33
62.63	0.85	4.24
62.84	1.07	4.36
62.98	1.11	4.37
63.58	1.11	4.21
64.08	1.1	4.35
64.48	1.05	4.32
64.94	1.16	4.11
64.98	1.19	4.26
66.28	0.84	3.85
66.58	0.91	3.41
66.88	1.22	3.33
67.58	1.02	3.06
68.78	-0.23	3.12
69.08	0.7	4.08
69.14	0.7	3.93
69.38	0.92	3.99
69.98	0.73	3.67
70.58	1.01	3.8
71.18	-0.16	3.39
71.48	0.95	3.86
71.7	0.82	3.53
71.94	0.64	3.28
73.04	0.81	3.17
73.64	0.43	4.01
74.24	0.66	3.42
74.84	0.67	4.74
76.04	0.45	4.24
76.64	1.08	4.5
77.24	0.86	4.36
77.84	0.5	4.31
77.84	0.52	4.21
78.6	0.68	4.07
78.74	0.8	4.32
79.04	0.02	4
79.2	0.59	4.23
79.33	0.74	4.2
79.34	0.07	3.91
81.73	1.06	3.31
82.93	1.06	3.44
83.63	0.94	3.53
84.23	0.72	3.71
84.73	-0.18	3.74
84.73	-0.39	3.74
84.86	0.7	4.59
84.9	0.62	4.72
84.94	1	4.57
84.98	0.55	4.48
85.1	0.42	4.31
85.18	0.74	4.6
85.26	0.76	4.65
85.34	0.69	4.39
85.38	0.73	4.54
85.58	0.25	4.43
85.62	0.48	4.12
85.66	0.71	4.68
85.74	0.79	3.95
85.82	0.3	3.87
85.86	1	3.97
85.9	0.95	3.66
86.02	0.85	4.04
86.06	0.65	3.4
86.1	0.7	3.94
86.14	0.67	3.34
86.18	0.85	3.36
86.22	0.88	3.57
86.26	0.96	3.53
86.3	0.86	3.54
86.36	0.51	3.37
86.4	0.76	3.48
86.44	0.41	3.15
86.48	0.34	3.08
86.52	0.83	3.72
86.56	0.77	3.58
86.6	0.7	3.59
86.64	0.67	3.6
86.68	0.29	3.5
86.72	0.64	3.55
86.76	0.21	3.33
86.8	0.56	3.78
86.84	0.69	3.92
86.88	0.75	3.73
86.92	0.55	3.96
86.96	0.53	3.77
87	0.46	4.07
87.04	0.5	3.95
87.08	0.35	3.56
87.12	0.01	3.04
87.16	0.26	3.15
87.2	0.15	3.97
87.24	0.27	3.83
87.28	0.55	3.78
87.32	0.42	3.92
87.36	0.3	3.71
87.44	0.02	3.63
87.48	0.42	4.01
87.52	0.47	4.53
87.56	1.01	4.69
87.64	0.82	4.52
87.72	0.75	4.21
87.86	0.89	4.5
87.94	0.97	4.59
87.98	0.68	4.29
88.06	0.87	4.46
88.18	0.82	4.3
88.22	0.07	4.19
88.26	0.25	4.55
88.34	0.42	4.05
88.38	0.78	4.36
88.46	0.53	4.24
88.5	0.47	3.75
88.54	0.89	4.39
88.58	0.78	4.12
88.62	0.86	4.47
88.66	0.85	4.27
88.7	0.41	3.28
88.74	-0.07	3.33
88.78	-0.39	3.51
88.78	0.72	4.35
88.86	0.35	3.96
88.9	0.56	4.19
88.94	0.98	4.1
89.02	0.62	4.09
89.02	0.44	3.99
89.06	0.83	4.08
89.1	0.61	3.77
89.22	0.69	4.06
89.3	0.43	3.47
89.38	-0.01	3.62
89.42	0.11	3.48
89.46	0.04	3.37
89.5	1.03	4.02
89.54	0.9	4.02
89.58	0.81	3.99
89.62	0.94	3.8
89.66	0.93	3.9
89.7	0.78	3.9
89.74	0.9	3.76
89.78	0.62	3.66
89.82	0.62	3.75
89.86	0.4	3.69
89.9	0.84	3.75
89.94	0.65	3.58
89.98	0.73	3.49
90.02	0.07	3.54
90.06	0.08	3.49
90.1	0.2	3.48
90.14	0.69	3.85
90.18	0.83	3.94
90.26	0.36	3.79
90.28	0.54	3.79
90.3	0.73	3.7
90.33	0.47	3.67
90.34	0.61	3.58
90.38	0.75	3.58
90.42	0.77	3.54
90.43	0.7	3.53
90.46	0.57	3.53
90.48	0.47	3.55
90.5	0.37	3.53
90.58	0.67	3.64
90.58	0.32	3.18
90.62	0.36	3.21
90.63	0.84	3.31
90.68	0.51	3.41
90.7	0.39	3.35
90.73	0.51	3.33
90.74	0.59	3.32
90.78	0.87	3.36
91.03	0.9	3.39
91.08	0.52	3.34
91.13	0.45	3.29
91.18	0.8	3.4
91.23	0.76	3.29
91.28	0.59	3.35
91.33	0.54	3.31
91.38	0.77	3.3
91.53	0.33	3.41
91.58	0.89	3.4
91.63	0.82	3.18
91.67	0.83	3.18
91.88	0.77	3.27
92.18	0.47	3.22
92.28	0.19	3.05
92.48	0.61	3.14
92.68	0.59	3.38
92.75	0.21	3.14
92.8	-0.2	3.88
92.85	-0.38	3.31
92.88	-0.29	3.54
92.9	-0.51	3.29
92.95	-0.56	3.34
92.98	-0.52	3.94
93	-0.66	3.72
93.08	-0.73	3.67
93.1	-0.38	3.81
93.15	-0.26	3.88
93.17	0.61	3.91
93.2	0.64	4.61
93.25	0.64	4.59
93.3	0.28	4.7
93.35	0.57	4.57
93.5	0.39	4.31
93.55	0.49	4.64
93.65	0.37	4.54
93.7	0.3	4.66
93.75	0.63	4.53
93.8	0.25	4.49
93.9	0.6	4.47
93.95	0.41	4.28
94	0.74	4.24
94.05	0.61	4.09
94.1	0.68	4.08
94.15	0.67	4.23
94.2	0.88	4.41
94.25	0.9	4.14
94.3	0.56	3.67
94.35	0.47	4.07
94.4	0.52	3.93
94.45	0.5	4.03
94.5	0.23	3.6
94.55	0.92	3.89
94.6	0.3	3.31
94.65	0.58	3.58
94.7	0.74	4.32
94.75	0.31	3.87
94.8	0.21	2.83
94.85	-0.07	2.79
94.9	-0.11	2.78
95	0.04	3.11
95.1	0.45	3.32
95.2	0.72	3.33
95.25	0.88	3.76
95.3	0.91	3.79
95.35	0.47	3.23
95.4	0.39	3.28
95.45	0.56	3.67
95.55	0.21	3.48
95.6	0.17	3.43
95.7	0.53	3.76
95.75	0.61	3.66
95.8	0.86	3.46
95.9	1.06	2.98
95.95	0.8	3.58
96	0.71	3.25
96.05	0.51	3.47
96.1	0.28	2.92
96.3	0.81	3.52
96.4	0.2	2.86
96.45	-0.28	3.24
96.5	0.05	2.97
